GeneName	xref_id	HN1.5	Proteo
ALKBH2	121642	-131	NA
ALKBH3	221120	-62	NA
ALKBH4	54784	-83	NA
ALKBH5	54890	201	NA
ALKBH6	84964	-30	NA
ALKBH7	84266	8	NA
ALKBH8	91801	-159	NA
ALLC	55821	20	NA
ALMS1	7840	-25	NA
ALOX12	239	-28	NA
ALOX12B	242	77	NA
ALOX15	246	34	NA
ALOX15B	247	42	NA
ALOX5	240	121	NA
ALOX5AP	241	101	NA
ALOXE3	59344	157	NA
ALPG	251	5	NA
ALPI	248	4	NA
ALPK1	80216	4	NA
ALPK2	115701	-21	NA
ALPK3	57538	145	NA
ALPL	249	35	NA
ALPP	250	33	NA
ALS2	57679	-18	NA
ALS2CL	259173	72	NA
ALS2CR12		12	NA
ALX1	8092	13	NA
ALX3	257	-20	NA
ALX4	60529	-9	NA
ALYREF	10189	-152	NA
AMACR	23600	-46	NA
AMBN	258	-8	NA
AMBP	259	-34	NA
AMBRA1	55626	-42	NA
AMD1	262	-133	NA
AMDHD1	144193	1	NA
AMDHD2	51005	-71	NA
AMELX	265	9	NA
AMELY	266	0	NA
AMER1	139285	-112	NA
AMER2	219287	-37	NA
AMER3	205147	10	NA
AMFR	267	-19	NA
AMH	268	15	NA
AMHR2	269	10	NA
AMIGO1	57463	-75	NA
AMIGO2	347902	-1	NA
AMIGO3	386724	-35	NA
AMMECR1	9949	-101	NA
AMMECR1L	83607	-34	NA
AMN	81693	42	NA
AMN1	196394	40	NA
AMOT	154796	76	NA
AMOTL1	154810	-35	NA
AMOTL2	51421	27	NA
AMPD1	270	50	NA
AMPD2	271	70	NA
AMPD3	272	223	NA
AMPH	273	-52	NA
AMT	275	69	NA
AMTN	401138	-50	NA
AMY1A	276	19	NA
AMY1B	277	1	NA
AMY1C	278	-2	NA
AMY2A	279	14	NA
AMY2B	280	101	NA
AMZ1	155185	75	NA
AMZ2	51321	13	NA
ANAPC1	64682	-69	NA
ANAPC10	10393	-63	NA
ANAPC11	51529	-12	NA
ANAPC13	25847	-141	NA
ANAPC15	25906	-74	NA
ANAPC16	119504	57	NA
ANAPC2	29882	-97	NA
ANAPC4	29945	-81	NA
ANAPC5	51433	-85	NA
ANAPC7	51434	-169	NA
ANG	283	298	NA
ANGEL1	23357	-92	NA
ANGEL2	90806	-64	NA
ANGPT1	284	-7	NA
ANGPT2	285	56	NA
ANGPT4	51378	32	NA
ANGPTL1	9068	-62	NA
ANGPTL2	23452	-42	NA
ANGPTL3	27329	-7	NA
ANGPTL4	51129	369	NA
ANGPTL5	253935	-21	NA
ANGPTL6	83854	193	NA
ANGPTL7	10218	-43	NA
ANGPTL8	55908	12	NA
ANHX	647589	0	NA
ANK1	286	-39	NA
ANK2	287	-5	NA
ANK3	288	-45	NA
ANKAR	150709	-20	NA
ANKDD1A	348094	-6	NA
ANKDD1B	728780	-30	NA
ANKEF1	63926	-88	NA
ANKFN1	162282	8	NA
ANKFY1	51479	-29	NA
ANKH	56172	-7	NA
ANKHD1	54882	15	NA
ANKHD1-EIF4EBP3	404734	16	NA
ANKIB1	54467	13	NA
ANKK1	255239	-6	NA
ANKLE1	126549	-53	NA
ANKLE2	23141	-5	NA
ANKMY1	51281	-19	NA
ANKMY2	57037	4	NA
ANKRA2	57763	77	NA
ANKRD1	27063	38	NA
ANKRD10	55608	83	NA
ANKRD11	29123	26	NA
ANKRD12	23253	160	NA
ANKRD13A	88455	14	NA
ANKRD13B	124930	-55	NA
ANKRD13C	81573	-59	NA
ANKRD13D	338692	-37	NA
ANKRD16	54522	-56	NA
ANKRD17	26057	-21	NA
ANKRD18A	253650	-62	NA
ANKRD18B	441459	-21	NA
ANKRD2	26287	-90	NA
ANKRD20A1	84210	19	NA
ANKRD20A2		-51	NA
ANKRD20A3		0	NA
ANKRD20A4		1	NA
ANKRD22	118932	13	NA
ANKRD23	200539	-83	NA
ANKRD24	170961	61	NA
ANKRD26	22852	-21	NA
ANKRD27	84079	-4	NA
ANKRD28	23243	-37	NA
ANKRD29	147463	-81	NA
ANKRD30A	91074	17	NA
ANKRD30B	374860	-14	NA
ANKRD30BL	554226	-13	NA
ANKRD31	256006	-18	NA
ANKRD33	341405	68	NA
ANKRD33B	651746	52	NA
ANKRD34A	284615	-49	NA
ANKRD34B	340120	-16	NA
ANKRD34C	390616	0	NA
ANKRD35	148741	-3	NA
ANKRD36	375248	11	NA
ANKRD36B	57730	32	NA
ANKRD36C	400986	-7	NA
ANKRD37	353322	415	NA
ANKRD39	51239	-112	NA
ANKRD40	91369	-95	NA
ANKRD40CL	55018	58	NA
ANKRD42	338699	-45	NA
ANKRD44	91526	-80	NA
ANKRD45	339416	-46	NA
ANKRD46	157567	-26	NA
ANKRD49	54851	-26	NA
ANKRD50	57182	0	NA
ANKRD52	283373	-101	NA
ANKRD53	79998	7	NA
ANKRD54	129138	-61	NA
ANKRD55	79722	-27	NA
ANKRD6	22881	-35	NA
ANKRD60	140731	15	NA
ANKRD61	100310846	-86	NA
ANKRD62	342850	-26	NA
ANKRD63	100131244	-35	NA
ANKRD65	441869	3	NA
ANKRD66	100287718	0	NA
ANKRD7	56311	-13	NA
ANKRD9	122416	58	NA
ANKS1A	23294	-25	NA
ANKS1B	56899	91	NA
ANKS3	124401	-44	NA
ANKS4B	257629	40	NA
ANKS6	203286	-51	NA
ANKUB1	389161	23	NA
ANKZF1	55139	316	NA
ANLN	54443	-4	NA
ANO1	55107	-37	NA
ANO10	55129	-39	NA
ANO2	57101	-18	NA
ANO3	63982	-33	NA
ANO4	121601	10	NA
ANO5	203859	-58	NA
ANO6	196527	153	NA
ANO7	50636	172	NA
ANO8	57719	58	NA
ANO9	338440	35	NA
ANOS1	3730	24	NA
ANP32A	8125	-22	NA
ANP32B	10541	-37	NA
ANP32D	23519	18	NA
ANP32E	81611	-22	NA
ANPEP	290	3	NA
ANTXR1	84168	-7	NA
ANTXR2	118429	23	NA
ANTXRL	195977	6	NA
ANXA1	301	2	NA
ANXA10	11199	-81	NA
ANXA11	311	-35	NA
ANXA13	312	4	NA
ANXA2	302	70	NA
ANXA2R	389289	-39	NA
ANXA3	306	-7	NA
ANXA4	307	3	NA
ANXA5	308	32	NA
ANXA6	309	-42	NA
ANXA7	310	-108	NA
ANXA8	653145	38	NA
ANXA8L1	728113	29	NA
ANXA9	8416	-36	NA
AOAH	313	30	NA
AOC1	26	35	NA
AOC2	314	88	NA
AOC3	8639	83	NA
AOX1	316	-25	NA
AP1AR	55435	-67	NA
AP1B1	162	-112	NA
AP1G1	164	-31	NA
AP1G2	8906	40	NA
AP1M1	8907	-55	NA
AP1M2	10053	-58	NA
AP1S1	1174	-54	NA
AP1S2	8905	47	NA
AP1S3	130340	-52	NA
AP2A1	160	13	NA
AP2A2	161	-26	NA
AP2B1	163	4	NA
AP2M1	1173	-20	NA
AP2S1	1175	-53	NA
AP3B1	8546	-27	NA
AP3B2	8120	15	NA
AP3D1	8943	-27	NA
AP3M1	26985	-74	NA
AP3M2	10947	-39	NA
AP3S1	1176	84	NA
AP3S2	10239	-96	NA
AP4B1	10717	-132	NA
AP4E1	23431	-57	NA
AP4M1	9179	-28	NA
AP4S1	11154	-96	NA
AP5B1	91056	-63	NA
AP5M1	55745	-95	NA
AP5S1	55317	-107	NA
AP5Z1	9907	-61	NA
APAF1	317	183	NA
APBA1	320	-11	NA
APBA2	321	59	NA
APBA3	9546	-13	NA
APBB1	322	40	NA
APBB1IP	54518	17	NA
APBB2	323	-1	NA
APBB3	10307	45	NA
APC	324	-38	NA
APC2	10297	22	NA
APCDD1	147495	-68	NA
APCDD1L	164284	38	NA
APCS	325	-7	NA
APEH	327	-117	NA
APELA	100506013	-51	NA
APEX1	328	-69	NA
APEX2	27301	-61	NA
APH1A	51107	-28	NA
APH1B	83464	24	NA
API5	8539	-60	NA
APIP	51074	-104	NA
APLF	200558	13	NA
APLN	8862	235	NA
APLNR	187	-37	NA
APLP1	333	105	NA
APLP2	334	17	NA
APMAP	57136	-52	NA
APOA1	335	-8	NA
APOA2	336	15	NA
APOA4	337	24	NA
APOA5	116519	-31	NA
APOB	338	10	NA
APOBEC1	339	14	NA
APOBEC2	10930	-2	NA
APOBEC3A	200315	-1	NA
APOBEC3B	9582	-105	NA
APOBEC3C	27350	10	NA
APOBEC3D	140564	52	NA
APOBEC3F	200316	-23	NA
APOBEC3G	60489	-33	NA
APOBEC3H	164668	-25	NA
APOBEC4	403314	0	NA
APOBR	55911	-21	NA
APOC1	341	42	NA
APOC2	344	16	NA
APOC3	345	-1	NA
APOC4	346	2	NA
APOC4-APOC2	100533990	13	NA
APOD	347	2	NA
APOE	348	41	NA
APOF	319	0	NA
APOH	350	37	NA
APOL1	8542	2	NA
APOL2	23780	-26	NA
APOL3	80833	-87	NA
APOL4	80832	-13	NA
APOL5	80831	2	NA
APOL6	80830	-28	NA
APOLD1	81575	120	NA
APOM	55937	-45	NA
APOO	79135	-111	NA
APOOL	139322	-7	NA
APOPT1		25	NA
APP	351	60	NA
APPBP2	10513	-17	NA
APPL1	26060	25	NA
APPL2	55198	23	NA
APRT	353	-43	NA
APTX	54840	-94	NA
AQP1	358	63	NA
AQP10	89872	27	NA
AQP11	282679	-104	NA
AQP12A	375318	1	NA
AQP12B	653437	12	NA
AQP2	359	4	NA
AQP3	360	-23	NA
AQP4	361	-11	NA
AQP5	362	-39	NA
AQP6	363	32	NA
AQP7	364	9	NA
AQP8	343	-43	NA
AQP9	366	9	NA
AQR	9716	-71	NA
AR	367	-39	NA
ARAF	369	-32	NA
ARAP1	116985	26	NA
ARAP2	116984	-69	NA
ARAP3	64411	-26	NA
ARC	23237	29	NA
ARCN1	372	-7	NA
AREG	374	43	NA
AREL1	9870	-79	NA
ARF1	375	-8	NA
ARF3	377	-56	NA
ARF4	378	-17	NA
ARF5	381	-5	NA
ARF6	382	-16	NA
ARFGAP1	55738	-9	NA
ARFGAP2	84364	-91	NA
ARFGAP3	26286	79	NA
ARFGEF1	10565	5	NA
ARFGEF2	10564	-2	NA
ARFGEF3	57221	226	NA
ARFIP1	27236	-16	NA
ARFIP2	23647	-30	NA
ARFRP1	10139	-97	NA
ARG1	383	11	NA
ARG2	384	62	NA
ARGFX	503582	14	NA
ARGLU1	55082	-18	NA
ARHGAP1	392	-72	NA
ARHGAP10	79658	-29	NA
ARHGAP11A	9824	-89	NA
ARHGAP11B	89839	-27	NA
ARHGAP12	94134	44	NA
ARHGAP15	55843	-3	NA
ARHGAP17	55114	-73	NA
ARHGAP18	93663	-75	NA
ARHGAP19	84986	30	NA
ARHGAP19-SLIT1	100533184	-1	NA
ARHGAP20	57569	4	NA
ARHGAP21	57584	8	NA
ARHGAP22	58504	64	NA
ARHGAP23	57636	-54	NA
ARHGAP24	83478	-52	NA
ARHGAP25	9938	-11	NA
ARHGAP26	23092	-9	NA
ARHGAP27	201176	19	NA
ARHGAP28	79822	8	NA
ARHGAP29	9411	39	NA
ARHGAP30	257106	38	NA
ARHGAP31	57514	-20	NA
ARHGAP32	9743	34	NA
ARHGAP33	115703	77	NA
ARHGAP35	2909	34	NA
