Symbol	xref_id	Basal_011116	Basal_011316	Basal_081715	Basal_112415	Suprabasal_011116	Suprabasal_011316	Suprabasal_081715	Suprabasal_112415
NCCRP1	342897	0.1903	0.05575	0.5114	0.1544	0.05853	8.593	1.694	1.728
SYCN	342898	0	0	0	0	0	0	0	0
IFNL3	282617	0	0	0	0	0	0	0	0
IFNL4	101180976	0	0	0	0	0	0	0	0
IFNL2	282616	0	0	0	0	0	0	0	0
IFNL1	282618	0	0	0	0	0	0	0	0
LRFN1	57622	0	0	0.07039	0.06374	0	0	0	0
GMFG	9535	0	0	0	0	0	0	0	0
SAMD4B	55095	2.247	1.541	2.752	2.904	1.458	1.504	1.885	1.633
PAF1	54623	3.009	0.4467	4.418	5.194	1.25	2.269	4.259	0.68
MED29	55588	0.6811	0.6023	2.614	3.325	1.488	1.709	2.116	2.088
ZFP36	7538	27.86	13.79	41.89	54.72	11.48	24.06	22.96	22.31
MIR4530	100616163	0	0	0	0.6682	0	0	0	0
TRI-TAT1-1	100189324	0.6234	0	0	0	0	0	0	0
PLEKHG2	64857	0.4317	0.112	0.3734	0.6204	0.0112	0.004038	0.01985	0.02238
RPS16	6217	75.62	52.49	465.6	528.5	116.5	108.5	304.1	215
SUPT5H	6829	0.51	0.5037	3.933	3.857	1.289	1.271	4.402	2.631
SNORD175	109623469	0	0	0	0	0	0	0	0
TIMM50	92609	0.1168	0.6775	1.662	1.661	0.709	1.082	2.116	0.2636
DLL3	10683	0	0	0.03026	0	0	0	0.0358	0
SELENOV	348303	0	0	0	0	0	0	0	0
EID2B	126272	0	0	0.1898	0	0	0	0	0
EID2	163126	0.1902	0.1161	0.5355	1.903	0.13	0.2812	0.6719	1.363
LOC105372399	105372399	0	0	0	0	0	0	0	0
LGALS13	29124	0	0	0	0	0	0	0	0
LOC100129935	100129935	0	0	0	0	0	0	0	0
LGALS16	148003	0	0	0	0	0	0	0	0
LGALS17A	400696	0	0	0	0	0	0	0	0
LGALS14	56891	0	0	0	0	0	0	0	0
CLC	1178	0	0	0	0	0	0	0	0
LEUTX	342900	0	0	0	0	0	0	0	0
DYRK1B	9149	0.1427	0.2612	1.479	1.4	0.6875	0.1476	0.5702	0.935
MIR6719	102465974	0	0	1.628	4.301	12.5	0	0.9632	0
FBL	2091	19.61	11.72	79.03	67.13	15.62	18.76	52.66	27.38
FCGBP	8857	0	0	0	0	0	0	0	0
LOC107987267	107987267	1.471	0	0	0.1369	0	0	0.0438	0
PSMC4	5704	1.936	0.7645	4.375	4.287	3.902	2.154	5.689	3.162
ZNF546	339327	0.0692	0.03378	0.611	0.2339	0	0.01705	0.3003	0.37
ZNF780B	163131	0.4593	0.2064	0.6551	0.6751	0.2033	0.09834	0.3539	0.6447
ZNF780A	284323	0.9835	0.4127	1.433	2.07	0.2016	0.5068	1.452	1.666
MAP3K10	4294	0.0335	0	0.08574	0.07246	0.1145	0	0.1555	0
TTC9B	148014	0	0	0	0	0	0	0	0
CCNP	79935	0	0	0.03035	0	0	0	0	0.05396
AKT2	208	3.223	1.379	4.486	4.651	4.254	5.473	4.372	3.585
LOC107985289	107985289	0.5454	1.061	0.3664	0.4008	0.6289	0.1763	0.3405	0.08143
MIR641	693226	0	0	0	0	0	0	0	0
C19orf47	126526	0.03484	0.2949	0.3121	0.2418	0.05556	0.309	0.2016	0.6289
PLD3	23646	1.793	0.788	4.59	4.419	1.331	2.777	3.95	1.422
MIR6796	102465477	0	0	0	0	0	0	0	0
HIPK4	147746	0	0	0.05642	0.0596	0.01506	0	0.07119	0.1505
PRX	57716	0.01502	0.011	0.2133	0.04871	0.05387	0	0.01364	0
SERTAD1	29950	1.218	0.5025	3.076	1.418	0.9984	0	0.2279	0.7555
SERTAD3	29946	1.202	0.8082	1.902	1.392	0.02514	0.6162	0.1485	1.272
SERTAD3-AS1	105372489	0.1872	0.2056	0.3592	0.2656	0.2878	0.06915	0.08499	0
BLVRB	645	1.905	1.691	19.81	21.59	1.302	3.157	19.82	10.84
SPTBN4	57731	0	0.009475	0.01656	0.006996	0	0.01594	0.02089	0
SHKBP1	92799	1.109	0.812	2.525	2.434	0.196	1.936	3.23	0.8221
LTBP4	8425	3.141	2.424	9.321	6.716	2.76	2.396	3.547	0.9246
NUMBL	9253	1.101	0.2475	0.5958	0.873	0.1539	0.6844	0.4471	0.02563
COQ8B	79934	0.8823	0.175	1.397	0.8944	0.6029	0.02716	0.7901	0.05018
ITPKC	80271	0.3887	0.265	0.957	2.435	0.7007	1.614	1.737	1.61
ACTMAP	284325	4.517	3.87	6.338	6.776	4.282	4.002	3.007	3.008
SNRPA	6626	0.9032	0.9524	5.02	5.01	1.481	1.361	5.031	5.671
MIA	8190	0	0.2502	0.1312	0	0	0	0	0
MIA-RAB4B	100529262	0.1324	0.2181	0.7876	0.6979	0	1.272	0.8015	0.5647
RAB4B-EGLN2	100529264	0.1619	0.04743	0.5843	0.7223	0.09959	0.5145	0.6961	0.21
RAB4B	53916	0.1592	0.1457	0.9473	0.8394	0	1.53	0.964	0.6792
EGLN2	112398	0.2081	0.07619	0.671	0.6751	0.128	0.3075	0.693	0.07102
CYP2T1P	171523	0.1437	0.8285	0.6204	2.316	0.1841	0.2919	0.9568	0.07354
CYP2A6	1548	0	0	0	0	0	0	0	0
CYP2A7	1549	0	0	0	0	0	0	0	0
CYP2G1P	22952	0	0	0	0	0	0	0	0
LOC107985299	107985299	0	0	0	0	0	0	0	0
CYP2B7P	1556	0	0	0	0	0	0	0	0
CYP2B6	1555	0	0	0	0	0	0	0	0
CYP2A13	1553	0	0	0	0	0	0	0	0
CYP2F1	1572	0	0.03708	0	0.1369	0	0.08732	0.1431	0.02304
CYP2S1	29785	32.98	5.613	18.2	17.55	1.322	1.919	1.572	0.7595
AXL	558	0.123	0.1524	1.111	1.481	0.2909	0.02097	0.338	0.04521
HNRNPUL1	11100	9.783	6.407	20.87	23.7	7.968	12.2	16.8	11
LOC105372401	105372401	2.031	1.115	5.613	5.977	0.922	2.53	3.162	3.139
CCDC97	90324	1.707	0.9426	1.535	2.958	0.7097	2.767	1.47	1.092
TGFB1	7040	0.2984	0.2671	1.642	0.8067	0.3398	0.08575	0.5119	0.03394
